Rank,Country/Territory,Continent,2020 Population,Area (km²),Density (per km²),World Population Percentage
36,Afghanistan,Asia,38972230,652230,63.0587,0.52
138,Albania,Europe,2866849,28748,98.8702,0.04
34,Algeria,Africa,43451666,2381741,18.8531,0.56
213,American Samoa,Oceania,46189,199,222.4774,0.0
203,Andorra,Europe,77700,468,170.5641,0.0
42,Angola,Africa,33428485,1246700,28.5466,0.45
224,Anguilla,North America,15585,91,174.2527,0.0
201,Antigua and Barbuda,North America,92664,442,212.1335,0.0
33,Argentina,South America,45036032,2780400,16.3683,0.57
140,Armenia,Asia,2805608,29743,93.4831,0.03
198,Aruba,North America,106585,180,591.3611,0.0
55,Australia,Oceania,25670051,7692024,3.4032,0.33
99,Austria,Europe,8907777,83871,106.5877,0.11
91,Azerbaijan,Asia,10284951,86600,119.6082,0.13
176,Bahamas,North America,406471,13943,29.4043,0.01
154,Bahrain,Asia,1477469,765,1924.4876,0.02
8,Bangladesh,Asia,167420951,147570,1160.035,2.15
186,Barbados,North America,280693,430,654.9651,0.0
96,Belarus,Europe,9633740,207600,45.9295,0.12
81,Belgium,Europe,11561717,30528,381.8111,0.15
177,Belize,North America,394921,22966,17.6466,0.01
77,Benin,Africa,12643123,112622,118.5635,0.17
206,Bermuda,North America,64031,54,1188.5926,0.0
165,Bhutan,Asia,772506,38394,20.3796,0.01
80,Bolivia,South America,11936162,1098581,11.1272,0.15
137,Bosnia and Herzegovina,Europe,3318407,51209,63.1437,0.04
144,Botswana,Africa,2546402,582000,4.5194,0.03
7,Brazil,South America,213196304,8515767,25.2841,2.7
221,British Virgin Islands,North America,30910,151,207.3179,0.0
175,Brunei,Asia,441725,5765,77.8841,0.01
108,Bulgaria,Europe,6979175,110879,61.1654,0.09
58,Burkina Faso,Africa,21522626,272967,83.0641,0.28
78,Burundi,Africa,12220227,27834,463.0874,0.16
73,Cambodia,Asia,16396860,181035,92.6221,0.21
53,Cameroon,Africa,26491087,475442,58.7128,0.35
39,Canada,North America,37888705,9984670,3.8513,0.48
171,Cape Verde,Africa,582640,4033,147.0739,0.01
205,Cayman Islands,North America,67311,264,260.25,0.0
117,Central African Republic,Africa,5343020,622984,8.9555,0.07
69,Chad,Africa,16644701,1284000,13.8032,0.22
65,Chile,South America,19300315,756102,25.9274,0.25
1,China,Asia,1424929781,9706961,146.8933,17.88
28,Colombia,South America,50930662,1141748,45.4339,0.65
163,Comoros,Africa,806166,1862,449.3953,0.01
223,Cook Islands,Oceania,17029,236,72.0805,0.0
124,Costa Rica,North America,5123105,51100,101.3861,0.06
130,Croatia,Europe,4096868,56594,71.2153,0.05
85,Cuba,North America,11300698,109884,102.0366,0.14
189,Curacao,North America,189288,444,430.5473,0.0
158,Cyprus,Europe,1237537,9251,135.2814,0.02
88,Czech Republic,Europe,10530953,78865,133.0627,0.13
115,Denmark,Europe,5825641,43094,136.4984,0.07
160,Djibouti,Africa,1090156,23200,48.3125,0.01
204,Dominica,North America,71995,751,96.8535,0.0
84,Dominican Republic,North America,10999664,48671,230.7087,0.14
15,DR Congo,Africa,92853164,2344858,42.2244,1.24
67,Ecuador,South America,17588595,276841,65.0229,0.23
14,Egypt,Africa,107465134,1002450,110.7188,1.39
112,El Salvador,North America,6292731,21041,301.145,0.08
152,Equatorial Guinea,Africa,1596049,28051,59.7094,0.02
132,Eritrea,Africa,3555868,117600,31.3268,0.05
156,Estonia,Europe,1329444,45227,29.3201,0.02
159,Eswatini,Africa,1180655,17364,69.2047,0.02
12,Ethiopia,Africa,117190911,1104300,111.7268,1.55
231,Falkland Islands,South America,3747,12173,0.3105,0.0
209,Faroe Islands,Europe,52415,1393,38.112,0.0
162,Fiji,Oceania,920422,18272,50.8847,0.01
118,Finland,Europe,5529468,338424,16.3722,0.07
23,France,Europe,64480053,551695,117.1419,0.81
184,French Guiana,South America,290969,83534,3.6459,0.0
183,French Polynesia,Oceania,301920,4167,73.5011,0.0
146,Gabon,Africa,2292573,267668,8.9252,0.03
142,Gambia,Africa,2573995,10689,253.1567,0.03
131,Georgia,Asia,3765912,69700,53.7214,0.05
19,Germany,Europe,83328988,357114,233.4544,1.05
47,Ghana,Africa,32180401,238533,140.3406,0.42
219,Gibraltar,Europe,32709,6,5441.5,0.0
90,Greece,Europe,10512232,131990,78.68,0.13
208,Greenland,North America,56026,2166086,0.0261,0.0
193,Grenada,North America,123663,344,364.6453,0.0
178,Guadeloupe,North America,395642,1628,243.0909,0.0
191,Guam,Oceania,169231,549,312.8852,0.0
68,Guatemala,North America,17362718,108889,163.8725,0.22
207,Guernsey,Europe,62794,78,811.5513,0.0
