Country,count
Global,3
Ireland,3
Mexico,3
Australia,3
United States,3
Lithuania,3
United Kingdom,3
Canada,3
Estonia,3
Panama,2
Colombia,2
Slovakia,2
El Salvador,2
Poland,2
Guatemala,2
Honduras,2
Nicaragua,2
Belgium,2
Hungary,2
Czech Republic,2
Bolivia,2
Costa Rica,2
Ecuador,2
Switzerland,2
Sweden,2
South Africa,2
Portugal,2
Norway,2
New Zealand,2
Netherlands,2
Denmark,2
Latvia,2
Iceland,2
Singapore,1
Philippines,1
Peru,1
Taiwan,1
Brazil,1
Bulgaria,1
Chile,1
Dominican Republic,1
France,1
Uruguay,1
Paraguay,1
Romania,1
Luxembourg,1
Israel,1
Finland,1
Germany,1
Austria,1
Vietnam,1
